country_a,country_b,cosine
Afghanistan,Vanuatu,0.9458848773680409
Afghanistan,Venezuela (Bolivarian Republic of),0.8691911548876307
Afghanistan,Viet Nam,0.9116221369299212
Afghanistan,Yemen,0.17639717054372117
Afghanistan,Zambia,0.8139259394716758
Afghanistan,Zimbabwe,0.7706319765033022
Albania,Algeria,0.7932364047837348
Albania,Andorra,0.8624948732546868
Albania,Angola,0.6992352373023397
Albania,Antigua and Barbuda,0.9520713996827616
Albania,Argentina,0.6558641926234037
Albania,Armenia,0.8805219853090236
Albania,Australia,0.9516129212733603
Albania,Austria,0.8049533341909358
Albania,Azerbaijan,0.7756337922245278
Albania,Bahamas (The),0.9346875497463994
Albania,Bahrain,0.6148900203742745
Albania,Bangladesh,0.9077491751572628
Albania,Barbados,0.9460894331270586
Albania,Belarus,0.8388810646336384
Albania,Belgium,0.8713551056820259
Albania,Belize,0.9543634998959407
Albania,Benin,0.8774833075448729
Albania,Bhutan,0.8973055953150352
Albania,Bolivia (Plurinational State of),0.7899012068014749
Albania,Bosnia and Herzegovina,0.888556525045631
Albania,Botswana,0.9191234141620517
Albania,Brazil,0.8064336895098007
Albania,Brunei Darussalam,0.9435085708128637
Albania,Bulgaria,0.4553949095494708
Albania,Burkina Faso,0.8569307511285665
Albania,Burundi,0.8993763208902098
Albania,Cambodia,0.9369592692877061
Albania,Cameroon,0.9312322430516193
Albania,Canada,0.9190254490648117
Albania,Cape Verde,0.7501373535738032
Albania,Central African Republic,0.8620270451504868
Albania,Chad,0.875841082225687
Albania,Chile,0.828010349682794
Albania,China (Peopl,0.8728272920058325
Albania,Colombia,0.7827203732368722
Albania,Comoros,0.8872045474564545
Albania,Congo (Democratic Republic of the),0.8202844444960824
Albania,Congo (Republic of the),0.7536668547680896
Albania,Costa Rica,0.825542103819098
Albania,Cote d'Ivoire,0.8304616717265387
Albania,Croatia,0.6984877840619952
Albania,Cuba,0.845157404085696
Albania,Cyprus,0.7905964453086954
Albania,Czech Republic,0.8286527969928514
Albania,Denmark,0.9551314881298179
Albania,Djibouti,0.8874790076862482
Albania,Dominica,0.9023588286589272
Albania,Dominican Republic,0.644428289925435
Albania,Ecuador,0.8042252278000865
Albania,Egypt,0.8752282792606786
Albania,El Salvador,0.8229478203102326
Albania,Equatorial Guinea,0.700411637876384
Albania,Eritrea,0.8934708260152894
Albania,Estonia,0.8200418254399632
Albania,Eswatini,0.7907599954890979
Albania,Ethiopia,0.9211508243943942
Albania,Fiji,0.870775116307709
Albania,Finland,0.8257223719099387
Albania,France,0.8404439417506379
Albania,Gabon,0.8267835917899182
Albania,Gambia (The),0.866687966804322
Albania,Georgia,0.7886875894674608
Albania,Germany,0.8795527710988412
Albania,Ghana,0.9176365606260459
Albania,Greece,0.7873942539497417
Albania,Grenada,0.9557895215702229
Albania,Guatemala,0.8621958877687275
Albania,Guine,0.9122387479661147
Albania,Guyana,0.8660160874269826
Albania,Haiti,0.7906067565965749
Albania,Honduras,0.8495584134475986
Albania,Hungary,0.7232777255959725
Albania,Iceland,0.7897441365136311
Albania,India,0.9242871169413849
Albania,Indonesia,0.91710676127544
Albania,Iran (Islamic Republic of),0.8462278293458168
Albania,Iraq,0.8529744902725834
Albania,Ireland,0.9205332519303762
Albania,Israel,0.8970627050378276
Albania,Italy,0.7643655565793978
Albania,Jamaica,0.954049282255856
Albania,Japan,0.9738455081725235
Albania,Jordan,0.968448853470304
Albania,Kazakhstan,0.8171924848416051
Albania,Kenya,0.8747637514568403
Albania,Kiribati,0.8955933043402421
Albania,Korea (Democratic Peopl,0.7877425195218516
Albania,Korea (Republic of),0.9098753264706965
Albania,Kosovo,0.6185338417043125
Albania,Kuwait,0.896023190312893
Albania,Kyrgyzstan,0.7143818020163262
Albania,Lao Peopl,0.6985742295093046
Albania,Latvia,0.8426795117342567
Albania,Lebanon,0.5804836239179654
Albania,Lesotho,0.9246727165658555
Albania,Liberia,0.9370798762422574
Albania,Libya,0.9470552975590767
Albania,Liechtenstein,0.8647211256200783
Albania,Lithuania,0.8142442464513082
Albania,Luxembourg,0.6105080294887295
