country_name,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
Colombia,0.29793879483851426,-0.21135737562148438,0.3926801819693384,-0.3325694062267542,0.15456769241294727,0.16617540963186533,0.00489491011011237,0.10628068403865017,-0.0025765910880824203,0.014346163633174073
Comoros,0.19134212199917522,0.08943067888109914,-0.06802072385144037,-0.12333725136999311,-0.043321672539956634,-0.0385404813121403,0.06695659066178841,0.12938458398158154,-0.06602994540696476,-0.042147212329943486
Congo (Democratic Republic of the),0.39775520791312036,0.2235968409905199,0.014686893756665258,-0.2771806865537897,-0.011167737704466886,0.1315878822049865,0.42851447641260454,-0.16579608374373692,-0.15042440190767917,-0.026385982096185798
Congo (Republic of the),0.5087634046192852,0.3788398326225028,-0.06570830207354499,-0.3342656539649123,-0.12930013436024076,-0.018123199650748552,0.05242074266355224,-0.08344058417294548,0.036982503665810545,-0.017683908547332514
Costa Rica,0.16578969766148766,-0.016931942808670577,0.03459568879379457,-0.0829330401372151,-0.004384522782505368,0.07192364343162691,-0.018296860629138822,0.08151217551560956,-0.1667590217475745,-0.06905086944181887
Cote d'Ivoire,0.35221476377993416,0.28454661301967715,-0.09583595853183322,-0.22354054660080533,0.34336632740867634,0.11774048210271731,0.009107359114486653,-0.009096854517323495,0.14982245197926067,0.09856012047723486
Croatia,0.022794035423490948,0.00413769250250125,-0.03324641392812517,0.014754165053258024,0.014134517203016452,0.025044913226430432,-0.020896670135626846,0.001950886620486328,0.06577233853381911,0.017804826589280433
Cuba,0.20856046932321895,-0.05557768919137773,0.006094724205728344,-0.0744987949408345,0.15564035357351733,0.24085113984552367,0.3325159184477288,0.09557243430982648,-0.29453753115765785,-0.03691301347316517
Cyprus,0.06667048748319562,0.06710151173078666,-0.00941982883715119,-0.04486664009817211,0.15109853722631741,0.029355995938633424,-0.09711425892847979,-0.1066124249269899,-0.04454435823280425,-0.015403175647319722
Czech Republic,0.12318769598991422,0.08462253837767278,-0.003959410992896058,-0.041957818024947774,0.06270240725343927,0.04484276118560555,-0.08527900760464899,-0.12467410352820804,0.030035951660711716,0.029016389513297467
Denmark,-0.13491756972398666,0.37738001877837685,0.3524131795802337,0.18920499165665253,-0.09168758393263775,0.12717643253555547,-0.010832745157288748,0.24306627065500208,9.543747477137952e-07,-0.00977273026205289
Djibouti,0.47636887589847293,0.3089350746594754,-0.1916599912852222,-0.22581274400957305,-0.0890798165818908,-0.11675117738666017,0.10426932733476753,0.17302056298676657,-0.033797308761465195,0.011823569068611029
Dominica,-0.35812351514686397,0.14937908277453174,-0.04920867027568681,-0.41032408211681437,0.11317333989127672,0.053850336767459664,-0.04768041273594016,0.04742613783327434,-0.1093881933809243,0.03532118857158084
Dominican Republic,0.2951030348821056,0.011534308678403205,0.19557376724230022,-0.18161151438409356,0.0016947249908427448,0.1382937710831373,-0.06799748513455574,-0.09184403355558848,-0.14622017587853534,-0.03583784785086317
