country_name,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29
Azerbaijan,6.765442121653777e-06,0.9998038021784714,6.7654421216459925e-06,6.765442121656406e-06,6.765442121653807e-06,6.76544212165491e-06,6.7654421216564085e-06,6.765442121652232e-06,6.765442121655624e-06,6.765442121652019e-06,6.765442121653233e-06,6.7654421216565906e-06,6.765442121657403e-06,6.765442121654265e-06,6.765442121653941e-06,6.765442121655197e-06,6.765442121653609e-06,6.765442121655628e-06,6.765442121656604e-06,6.7654421216459925e-06,6.765442121656674e-06,6.76544212165409e-06,6.7654421216555496e-06,6.765442121654751e-06,6.765442121655258e-06,6.7654421216527705e-06,6.76544212165643e-06,6.765442121654409e-06,6.765442121656982e-06,6.76544212165634e-06
Bahamas (The),2.8200789622168494e-06,2.820078962216118e-06,2.8200789622129102e-06,2.8200789622171683e-06,0.8938014547384068,2.820078962217565e-06,0.023478533751821844,2.8200789622167215e-06,2.82007896221714e-06,2.8200789622163915e-06,2.8200789622155432e-06,2.820078962216946e-06,2.820078962216843e-06,0.0025499919287470018,2.8200789622166177e-06,2.820078962216924e-06,0.013042866636430908,2.820078962216987e-06,2.8200789622176833e-06,2.8200789622129102e-06,2.8200789622165537e-06,0.06311485831191722,2.820078962216764e-06,2.820078962215487e-06,2.820078962217028e-06,2.820078962216064e-06,2.8200789622170416e-06,0.003944612737583277,2.820078962216703e-06,2.820078962216875e-06
Bahrain,1.0801468999807246e-05,1.0801468999807417e-05,1.080146899979323e-05,0.016513099513621936,1.0801468999805204e-05,1.0801468999808635e-05,1.0801468999808227e-05,0.1754835898472368,1.0801468999811386e-05,0.021204143429599514,1.0801468999808193e-05,1.0801468999810295e-05,0.36013592683950724,1.080146899980607e-05,1.0801468999805372e-05,1.0801468999808073e-05,1.0801468999807756e-05,1.0801468999807104e-05,0.005926227843579548,1.080146899979323e-05,0.17347518636854597,1.0801468999807434e-05,1.0801468999806189e-05,1.0801468999805316e-05,0.00445600046284498,1.0801468999809638e-05,1.0801468999809363e-05,1.0801468999808174e-05,1.0801468999806351e-05,0.24256819337706834
Bangladesh,4.326756663215259e-06,4.326756663214641e-06,4.326756663208854e-06,0.08982911418776174,4.326756663215526e-06,4.326756663216032e-06,4.326756663215911e-06,4.326756663214372e-06,4.326756663215072e-06,4.326756663212884e-06,4.326756663213877e-06,0.02303894902365632,4.326756663215926e-06,0.0004663618940630613,4.326756663216451e-06,4.326756663214735e-06,0.11942879104603361,4.326756663214905e-06,4.326756663215623e-06,4.326756663208854e-06,4.326756663214877e-06,0.18125434771602023,4.326756663214643e-06,4.326756663213129e-06,4.326756663215126e-06,4.326756663215685e-06,4.326756663215605e-06,0.5858785939725479,4.326756663214391e-06,4.32675666321559e-06
Barbados,2.9198785330590036e-06,2.9198785330582667e-06,2.919878533055062e-06,2.9198785330590824e-06,0.7656646348864014,2.9198785330593962e-06,2.919878533058553e-06,2.9198785330587855e-06,2.919878533059655e-06,2.91987853305823e-06,2.9198785330598185e-06,2.919878533059606e-06,2.919878533058843e-06,0.2129428568932262,2.919878533058753e-06,2.919878533059261e-06,2.9198785330596474e-06,0.010812675023795466,2.919878533059308e-06,2.919878533055062e-06,2.9198785330589257e-06,0.010503916354717749,2.9198785330596546e-06,2.919878533057755e-06,2.9198785330591027e-06,2.919878533058158e-06,2.919878533059813e-06,2.9198785330592997e-06,2.919878533059762e-06,2.9198785330593848e-06
Belarus,6.509145349227698e-06,0.0567837587300766,6.5091453492200966e-06,0.8332769307180997,6.509145349226998e-06,6.509145349227818e-06,6.5091453492296045e-06,6.509145349227578e-06,6.509145349230086e-06,6.509145349223807e-06,6.509145349228681e-06,6.509145349230011e-06,0.014970335746348635,6.509145349226569e-06,6.509145349227817e-06,0.09479973702639452,6.5091453492271845e-06,6.509145349227008e-06,6.509145349229361e-06,6.5091453492200966e-06,6.5091453492280096e-06,6.5091453492274946e-06,6.509145349228139e-06,6.509145349228817e-06,6.509145349227691e-06,6.5091453492286906e-06,6.509145349229542e-06,6.509145349228373e-06,6.509145349229923e-06,6.509145349230441e-06
Belgium,5.15596803300729e-06,5.155968033006831e-06,5.155968033000872e-06,5.155968033008521e-06,5.155968033008043e-06,5.155968033007342e-06,5.155968033008761e-06,5.15596803300679e-06,5.1559680330060315e-06,5.155968033009344e-06,5.155968033007566e-06,5.155968033006768e-06,5.155968033008886e-06,5.15596803300739e-06,5.1559680330068e-06,0.028573881015459247,5.15596803300754e-06,5.155968033007569e-06,0.9712817518796163,5.155968033000872e-06,5.155968033007147e-06,5.155968033007304e-06,5.155968033007255e-06,5.155968033005787e-06,5.155968033007765e-06,5.1559680330078366e-06,5.15596803300646e-06,5.155968033008672e-06,5.1559680330065084e-06,5.1559680330087285e-06
Belize,2.4857071836993126e-06,2.4857071836986197e-06,2.4857071836958385e-06,2.485707183699548e-06,0.6547560692680076,2.485707183699724e-06,2.485707183699924e-06,2.4857071836988412e-06,2.485707183700218e-06,2.4857071836982356e-06,2.4857071836984033e-06,2.4857071837001224e-06,2.4857071836997272e-06,0.3033561310519914,2.4857071836999945e-06,0.03701682150324423,1.246158115449371e-05,2.4857071836997836e-06,2.4857071837003087e-06,2.4857071836958385e-06,2.4857071836990255e-06,2.4857071836998136e-06,2.4857071836999487e-06,2.485707183697869e-06,2.485707183699348e-06,2.485707183698697e-06,2.4857071837004138e-06,2.4857071837000173e-06,2.485707183700117e-06,0.004796373916010176
Benin,9.248982611931995e-06,9.248982611931346e-06,9.248982611918985e-06,0.1467591081868494,9.248982611933018e-06,9.248982611934236e-06,9.24898261193326e-06,9.248982611930387e-06,9.248982611931717e-06,9.248982611927121e-06,9.248982611930257e-06,9.248982611934236e-06,0.8529819203000165,9.248982611933049e-06,9.248982611929947e-06,9.248982611934214e-06,9.248982611932071e-06,9.248982611933e-06,9.24898261193419e-06,9.248982611918985e-06,9.248982611931536e-06,9.248982611933777e-06,9.248982611932552e-06,9.248982611928651e-06,9.248982611933198e-06,9.248982611931328e-06,9.248982611933088e-06,9.248982611933542e-06,9.248982611931578e-06,9.248982611932237e-06
Bhutan,1.5895724050271886e-05,1.5895724050262915e-05,1.5895724050245347e-05,1.5895724050272625e-05,1.589572405027002e-05,0.2694729068638229,1.5895724050264622e-05,1.589572405026972e-05,1.5895724050268698e-05,0.01495300199648632,1.5895724050260035e-05,0.2590602120658934,1.5895724050271168e-05,0.1451155555629809,1.5895724050272124e-05,0.05447999066954366,1.589572405027127e-05,1.5895724050270114e-05,0.0400118247319998,1.5895724050245347e-05,1.589572405027055e-05,0.08624838048833257,1.5895724050271663e-05,1.589572405025978e-05,1.5895724050269203e-05,1.5895724050268824e-05,1.589572405027119e-05,0.1251124910013581,0.005211826414526844,1.58957240502712e-05
